"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"300","Enhanced Ambition","coal","Billions 1975$","RockiesCentral","2035",NA,NA
"301","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2020",NA,NA
"302","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2025",NA,NA
"303","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2030",NA,NA
"304","Enhanced Ambition","coal","Billions 1975$","SouthAtlantic","2035",NA,NA
"305","Enhanced Ambition","coal","Billions 1975$","West","2020",NA,NA
"306","Enhanced Ambition","coal","Billions 1975$","West","2025",NA,NA
"307","Enhanced Ambition","coal","Billions 1975$","West","2030",NA,NA
"308","Enhanced Ambition","coal","Billions 1975$","West","2035",NA,NA
"309","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2020",0.08173416892443,0.00832571697480233
"310","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2025",0.099255174151865,0.00195111128371472
"311","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2030",0.10703372347911,-0.00706828433811757
"312","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2035",0.121175693098525,-0.0552241738296179
"313","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2020",2.00490722812063,0.0115911226180054
"314","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2025",2.21711680744177,0.00494593767983864
"315","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2030",2.61304922994321,0.0633745341422161
"316","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2035",2.87977238921264,0.0070762647983218
"317","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2020",1.18656884384568,0.00788683515640787
"318","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2025",1.24432796024114,0.00592911198779045
"319","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2030",1.35130627704757,0.0266345866377222
"320","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2035",1.41492591255306,-0.0576290897228999
"321","Enhanced Ambition","electricity","Billions 1975$","MidA","2020",1.82714646087519,0.0198982326785804
"322","Enhanced Ambition","electricity","Billions 1975$","MidA","2025",1.9354307408718,0.0118411589320746
"323","Enhanced Ambition","electricity","Billions 1975$","MidA","2030",2.1201074988573,0.0319136280142012
"324","Enhanced Ambition","electricity","Billions 1975$","MidA","2035",2.3156694502236,-0.0187155251989458
"325","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2020",1.05388126871509,0.0110995941671008
"326","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2025",1.15513144756632,0.00713576186696496
"327","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2030",1.31541329666179,0.0620093027676831
"328","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2035",1.38553348557489,-0.0250642788666491
"329","Enhanced Ambition","electricity","Billions 1975$","Midwest","2020",1.40927349436017,0.0088318799703373
"330","Enhanced Ambition","electricity","Billions 1975$","Midwest","2025",1.77010313570663,0.00825172168431254
"331","Enhanced Ambition","electricity","Billions 1975$","Midwest","2030",2.36322184064325,0.138918305657579
"332","Enhanced Ambition","electricity","Billions 1975$","Midwest","2035",2.86101619311475,0.168403209760066
"333","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2020",0.73344838731217,-0.000944199198449125
"334","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2025",1.01078644131677,-0.00656001156446717
"335","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2030",1.50444342884994,0.181601982811575
"336","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2035",2.00824514729143,0.288242073865321
"337","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2020",0.77132723104743,0.0148052497869424
"338","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2025",0.77794091130766,0.0135173290023001
"339","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2030",0.84909400548032,0.0611775248980373
"340","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2035",0.87543216545712,-0.0452758426873557
"341","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2020",0.36764755294358,0.0061050086647938
"342","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2025",0.43638105018812,0.00425858970521453
"343","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2030",0.57554111512859,0.126364868194947
"344","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2035",0.72124467727586,0.190439837278247
"345","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2020",2.10348596803593,0.0133644334371501
"346","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2025",2.19052583184071,0.0117348110629472
"347","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2030",2.29164625268606,0.0368716044590569
"348","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2035",2.19877000904115,-0.112197962422169
"349","Enhanced Ambition","electricity","Billions 1975$","West","2020",0.67793165371902,0.00546011884028497
"350","Enhanced Ambition","electricity","Billions 1975$","West","2025",0.79597720638184,0.00237416076214858
"351","Enhanced Ambition","electricity","Billions 1975$","West","2030",1.17938280103976,0.287406338244867
"352","Enhanced Ambition","electricity","Billions 1975$","West","2035",1.74174617139464,0.618061807258645
"353","Enhanced Ambition","gas","Billions 1975$","AK-HI","2020",NA,NA
"354","Enhanced Ambition","gas","Billions 1975$","AK-HI","2025",NA,NA
"355","Enhanced Ambition","gas","Billions 1975$","AK-HI","2030",NA,NA
"356","Enhanced Ambition","gas","Billions 1975$","AK-HI","2035",NA,NA
"357","Enhanced Ambition","gas","Billions 1975$","Appalachia","2020",NA,NA
"358","Enhanced Ambition","gas","Billions 1975$","Appalachia","2025",NA,NA
"359","Enhanced Ambition","gas","Billions 1975$","Appalachia","2030",NA,NA
"360","Enhanced Ambition","gas","Billions 1975$","Appalachia","2035",NA,NA
"361","Enhanced Ambition","gas","Billions 1975$","GulfCoast","2020",NA,NA
"362","Enhanced Ambition","gas","Billions 1975$","GulfCoast","2025",NA,NA
"363","Enhanced Ambition","gas","Billions 1975$","GulfCoast","2030",NA,NA
"364","Enhanced Ambition","gas","Billions 1975$","GulfCoast","2035",NA,NA
"365","Enhanced Ambition","gas","Billions 1975$","MidA","2020",NA,NA
"366","Enhanced Ambition","gas","Billions 1975$","MidA","2025",NA,NA
"367","Enhanced Ambition","gas","Billions 1975$","MidA","2030",NA,NA
"368","Enhanced Ambition","gas","Billions 1975$","MidA","2035",NA,NA
"369","Enhanced Ambition","gas","Billions 1975$","Midcontinent","2020",NA,NA
"370","Enhanced Ambition","gas","Billions 1975$","Midcontinent","2025",NA,NA
"371","Enhanced Ambition","gas","Billions 1975$","Midcontinent","2030",NA,NA
"372","Enhanced Ambition","gas","Billions 1975$","Midcontinent","2035",NA,NA
"373","Enhanced Ambition","gas","Billions 1975$","Midwest","2020",NA,NA
"374","Enhanced Ambition","gas","Billions 1975$","Midwest","2025",NA,NA
"375","Enhanced Ambition","gas","Billions 1975$","Midwest","2030",NA,NA
"376","Enhanced Ambition","gas","Billions 1975$","Midwest","2035",NA,NA
"377","Enhanced Ambition","gas","Billions 1975$","NewEngland","2020",NA,NA
"378","Enhanced Ambition","gas","Billions 1975$","NewEngland","2025",NA,NA
"379","Enhanced Ambition","gas","Billions 1975$","NewEngland","2030",NA,NA
"380","Enhanced Ambition","gas","Billions 1975$","NewEngland","2035",NA,NA
"381","Enhanced Ambition","gas","Billions 1975$","PacificNorthwest","2020",NA,NA
"382","Enhanced Ambition","gas","Billions 1975$","PacificNorthwest","2025",NA,NA
"383","Enhanced Ambition","gas","Billions 1975$","PacificNorthwest","2030",NA,NA
"384","Enhanced Ambition","gas","Billions 1975$","PacificNorthwest","2035",NA,NA
"385","Enhanced Ambition","gas","Billions 1975$","RockiesCentral","2020",NA,NA
"386","Enhanced Ambition","gas","Billions 1975$","RockiesCentral","2025",NA,NA
"387","Enhanced Ambition","gas","Billions 1975$","RockiesCentral","2030",NA,NA
"388","Enhanced Ambition","gas","Billions 1975$","RockiesCentral","2035",NA,NA
"389","Enhanced Ambition","gas","Billions 1975$","SouthAtlantic","2020",NA,NA
"390","Enhanced Ambition","gas","Billions 1975$","SouthAtlantic","2025",NA,NA
"391","Enhanced Ambition","gas","Billions 1975$","SouthAtlantic","2030",NA,NA
"392","Enhanced Ambition","gas","Billions 1975$","SouthAtlantic","2035",NA,NA
"393","Enhanced Ambition","gas","Billions 1975$","West","2020",NA,NA
"394","Enhanced Ambition","gas","Billions 1975$","West","2025",NA,NA
"395","Enhanced Ambition","gas","Billions 1975$","West","2030",NA,NA
"396","Enhanced Ambition","gas","Billions 1975$","West","2035",NA,NA
"397","Enhanced Ambition","refined liquids","Billions 1975$","AK-HI","2020",NA,NA
"398","Enhanced Ambition","refined liquids","Billions 1975$","AK-HI","2025",NA,NA
"399","Enhanced Ambition","refined liquids","Billions 1975$","AK-HI","2030",NA,NA
"400","Enhanced Ambition","refined liquids","Billions 1975$","AK-HI","2035",NA,NA
"401","Enhanced Ambition","refined liquids","Billions 1975$","Appalachia","2020",NA,NA
"402","Enhanced Ambition","refined liquids","Billions 1975$","Appalachia","2025",NA,NA
"403","Enhanced Ambition","refined liquids","Billions 1975$","Appalachia","2030",NA,NA
"404","Enhanced Ambition","refined liquids","Billions 1975$","Appalachia","2035",NA,NA
"405","Enhanced Ambition","refined liquids","Billions 1975$","GulfCoast","2020",NA,NA
"406","Enhanced Ambition","refined liquids","Billions 1975$","GulfCoast","2025",NA,NA
"407","Enhanced Ambition","refined liquids","Billions 1975$","GulfCoast","2030",NA,NA
"408","Enhanced Ambition","refined liquids","Billions 1975$","GulfCoast","2035",NA,NA
"409","Enhanced Ambition","refined liquids","Billions 1975$","MidA","2020",NA,NA
"410","Enhanced Ambition","refined liquids","Billions 1975$","MidA","2025",NA,NA
"411","Enhanced Ambition","refined liquids","Billions 1975$","MidA","2030",NA,NA
"412","Enhanced Ambition","refined liquids","Billions 1975$","MidA","2035",NA,NA
"413","Enhanced Ambition","refined liquids","Billions 1975$","Midcontinent","2020",NA,NA
"414","Enhanced Ambition","refined liquids","Billions 1975$","Midcontinent","2025",NA,NA
"415","Enhanced Ambition","refined liquids","Billions 1975$","Midcontinent","2030",NA,NA
"416","Enhanced Ambition","refined liquids","Billions 1975$","Midcontinent","2035",NA,NA
"417","Enhanced Ambition","refined liquids","Billions 1975$","Midwest","2020",NA,NA
"418","Enhanced Ambition","refined liquids","Billions 1975$","Midwest","2025",NA,NA
"419","Enhanced Ambition","refined liquids","Billions 1975$","Midwest","2030",NA,NA
"420","Enhanced Ambition","refined liquids","Billions 1975$","Midwest","2035",NA,NA
"421","Enhanced Ambition","refined liquids","Billions 1975$","NewEngland","2020",NA,NA
"422","Enhanced Ambition","refined liquids","Billions 1975$","NewEngland","2025",NA,NA
"423","Enhanced Ambition","refined liquids","Billions 1975$","NewEngland","2030",NA,NA
"424","Enhanced Ambition","refined liquids","Billions 1975$","NewEngland","2035",NA,NA
"425","Enhanced Ambition","refined liquids","Billions 1975$","PacificNorthwest","2020",NA,NA
"426","Enhanced Ambition","refined liquids","Billions 1975$","PacificNorthwest","2025",NA,NA
"427","Enhanced Ambition","refined liquids","Billions 1975$","PacificNorthwest","2030",NA,NA
"428","Enhanced Ambition","refined liquids","Billions 1975$","PacificNorthwest","2035",NA,NA
"429","Enhanced Ambition","refined liquids","Billions 1975$","RockiesCentral","2020",NA,NA
"430","Enhanced Ambition","refined liquids","Billions 1975$","RockiesCentral","2025",NA,NA
"431","Enhanced Ambition","refined liquids","Billions 1975$","RockiesCentral","2030",NA,NA
"432","Enhanced Ambition","refined liquids","Billions 1975$","RockiesCentral","2035",NA,NA
"433","Enhanced Ambition","refined liquids","Billions 1975$","SouthAtlantic","2020",NA,NA
"434","Enhanced Ambition","refined liquids","Billions 1975$","SouthAtlantic","2025",NA,NA
"435","Enhanced Ambition","refined liquids","Billions 1975$","SouthAtlantic","2030",NA,NA
"436","Enhanced Ambition","refined liquids","Billions 1975$","SouthAtlantic","2035",NA,NA
"437","Enhanced Ambition","refined liquids","Billions 1975$","West","2020",NA,NA
"438","Enhanced Ambition","refined liquids","Billions 1975$","West","2025",NA,NA
"439","Enhanced Ambition","refined liquids","Billions 1975$","West","2030",NA,NA
"440","Enhanced Ambition","refined liquids","Billions 1975$","West","2035",NA,NA
"441","ExecRollback","biomass","Billions 1975$","AK-HI","2020",NA,NA
"442","ExecRollback","biomass","Billions 1975$","AK-HI","2025",NA,NA
"443","ExecRollback","biomass","Billions 1975$","AK-HI","2030",NA,NA
"444","ExecRollback","biomass","Billions 1975$","AK-HI","2035",NA,NA
"445","ExecRollback","biomass","Billions 1975$","Appalachia","2020",NA,NA
"446","ExecRollback","biomass","Billions 1975$","Appalachia","2025",NA,NA
"447","ExecRollback","biomass","Billions 1975$","Appalachia","2030",NA,NA
"448","ExecRollback","biomass","Billions 1975$","Appalachia","2035",NA,NA
"449","ExecRollback","biomass","Billions 1975$","GulfCoast","2020",NA,NA
"450","ExecRollback","biomass","Billions 1975$","GulfCoast","2025",NA,NA
"451","ExecRollback","biomass","Billions 1975$","GulfCoast","2030",NA,NA
"452","ExecRollback","biomass","Billions 1975$","GulfCoast","2035",NA,NA
"453","ExecRollback","biomass","Billions 1975$","MidA","2020",NA,NA
"454","ExecRollback","biomass","Billions 1975$","MidA","2025",NA,NA
"455","ExecRollback","biomass","Billions 1975$","MidA","2030",NA,NA
"456","ExecRollback","biomass","Billions 1975$","MidA","2035",NA,NA
"457","ExecRollback","biomass","Billions 1975$","Midcontinent","2020",NA,NA
"458","ExecRollback","biomass","Billions 1975$","Midcontinent","2025",NA,NA
"459","ExecRollback","biomass","Billions 1975$","Midcontinent","2030",NA,NA
"460","ExecRollback","biomass","Billions 1975$","Midcontinent","2035",NA,NA
"461","ExecRollback","biomass","Billions 1975$","Midwest","2020",NA,NA
"462","ExecRollback","biomass","Billions 1975$","Midwest","2025",NA,NA
"463","ExecRollback","biomass","Billions 1975$","Midwest","2030",NA,NA
"464","ExecRollback","biomass","Billions 1975$","Midwest","2035",NA,NA
"465","ExecRollback","biomass","Billions 1975$","NewEngland","2020",NA,NA
"466","ExecRollback","biomass","Billions 1975$","NewEngland","2025",NA,NA
"467","ExecRollback","biomass","Billions 1975$","NewEngland","2030",NA,NA
"468","ExecRollback","biomass","Billions 1975$","NewEngland","2035",NA,NA
"469","ExecRollback","biomass","Billions 1975$","PacificNorthwest","2020",NA,NA
"470","ExecRollback","biomass","Billions 1975$","PacificNorthwest","2025",NA,NA
"471","ExecRollback","biomass","Billions 1975$","PacificNorthwest","2030",NA,NA
"472","ExecRollback","biomass","Billions 1975$","PacificNorthwest","2035",NA,NA
"473","ExecRollback","biomass","Billions 1975$","RockiesCentral","2020",NA,NA
"474","ExecRollback","biomass","Billions 1975$","RockiesCentral","2025",NA,NA
"475","ExecRollback","biomass","Billions 1975$","RockiesCentral","2030",NA,NA
"476","ExecRollback","biomass","Billions 1975$","RockiesCentral","2035",NA,NA
"477","ExecRollback","biomass","Billions 1975$","SouthAtlantic","2020",NA,NA
"478","ExecRollback","biomass","Billions 1975$","SouthAtlantic","2025",NA,NA
"479","ExecRollback","biomass","Billions 1975$","SouthAtlantic","2030",NA,NA
"480","ExecRollback","biomass","Billions 1975$","SouthAtlantic","2035",NA,NA
"481","ExecRollback","biomass","Billions 1975$","West","2020",NA,NA
"482","ExecRollback","biomass","Billions 1975$","West","2025",NA,NA
"483","ExecRollback","biomass","Billions 1975$","West","2030",NA,NA
"484","ExecRollback","biomass","Billions 1975$","West","2035",NA,NA
"485","ExecRollback","coal","Billions 1975$","AK-HI","2020",NA,NA
"486","ExecRollback","coal","Billions 1975$","AK-HI","2025",NA,NA
"487","ExecRollback","coal","Billions 1975$","AK-HI","2030",NA,NA
"488","ExecRollback","coal","Billions 1975$","AK-HI","2035",NA,NA
"489","ExecRollback","coal","Billions 1975$","Appalachia","2020",NA,NA
"490","ExecRollback","coal","Billions 1975$","Appalachia","2025",NA,NA
"491","ExecRollback","coal","Billions 1975$","Appalachia","2030",NA,NA
"492","ExecRollback","coal","Billions 1975$","Appalachia","2035",NA,NA
"493","ExecRollback","coal","Billions 1975$","GulfCoast","2020",NA,NA
"494","ExecRollback","coal","Billions 1975$","GulfCoast","2025",NA,NA
"495","ExecRollback","coal","Billions 1975$","GulfCoast","2030",NA,NA
"496","ExecRollback","coal","Billions 1975$","GulfCoast","2035",NA,NA
"497","ExecRollback","coal","Billions 1975$","MidA","2020",NA,NA
"498","ExecRollback","coal","Billions 1975$","MidA","2025",NA,NA
"499","ExecRollback","coal","Billions 1975$","MidA","2030",NA,NA
"500","ExecRollback","coal","Billions 1975$","MidA","2035",NA,NA
"501","ExecRollback","coal","Billions 1975$","Midcontinent","2020",NA,NA
"502","ExecRollback","coal","Billions 1975$","Midcontinent","2025",NA,NA
"503","ExecRollback","coal","Billions 1975$","Midcontinent","2030",NA,NA
"504","ExecRollback","coal","Billions 1975$","Midcontinent","2035",NA,NA
"505","ExecRollback","coal","Billions 1975$","Midwest","2020",NA,NA
"506","ExecRollback","coal","Billions 1975$","Midwest","2025",NA,NA
"507","ExecRollback","coal","Billions 1975$","Midwest","2030",NA,NA
"508","ExecRollback","coal","Billions 1975$","Midwest","2035",NA,NA
"509","ExecRollback","coal","Billions 1975$","NewEngland","2020",NA,NA
"510","ExecRollback","coal","Billions 1975$","NewEngland","2025",NA,NA
"511","ExecRollback","coal","Billions 1975$","NewEngland","2030",NA,NA
"512","ExecRollback","coal","Billions 1975$","NewEngland","2035",NA,NA
"513","ExecRollback","coal","Billions 1975$","PacificNorthwest","2020",NA,NA
"514","ExecRollback","coal","Billions 1975$","PacificNorthwest","2025",NA,NA
"515","ExecRollback","coal","Billions 1975$","PacificNorthwest","2030",NA,NA
"516","ExecRollback","coal","Billions 1975$","PacificNorthwest","2035",NA,NA
"517","ExecRollback","coal","Billions 1975$","RockiesCentral","2020",NA,NA
"518","ExecRollback","coal","Billions 1975$","RockiesCentral","2025",NA,NA
"519","ExecRollback","coal","Billions 1975$","RockiesCentral","2030",NA,NA
"520","ExecRollback","coal","Billions 1975$","RockiesCentral","2035",NA,NA
"521","ExecRollback","coal","Billions 1975$","SouthAtlantic","2020",NA,NA
"522","ExecRollback","coal","Billions 1975$","SouthAtlantic","2025",NA,NA
"523","ExecRollback","coal","Billions 1975$","SouthAtlantic","2030",NA,NA
"524","ExecRollback","coal","Billions 1975$","SouthAtlantic","2035",NA,NA
"525","ExecRollback","coal","Billions 1975$","West","2020",NA,NA
"526","ExecRollback","coal","Billions 1975$","West","2025",NA,NA
"527","ExecRollback","coal","Billions 1975$","West","2030",NA,NA
"528","ExecRollback","coal","Billions 1975$","West","2035",NA,NA
"529","ExecRollback","electricity","Billions 1975$","AK-HI","2020",0.08105924611598,-5.68514956666988e-07
"530","ExecRollback","electricity","Billions 1975$","AK-HI","2025",0.09891620829443,-0.00147064703212474
"531","ExecRollback","electricity","Billions 1975$","AK-HI","2030",0.108780132155264,0.0091328203856551
"532","ExecRollback","electricity","Billions 1975$","AK-HI","2035",0.127291215941673,-0.00754300940746599
"533","ExecRollback","electricity","Billions 1975$","Appalachia","2020",1.98192930141645,-2.56428385925211e-06
"534","ExecRollback","electricity","Billions 1975$","Appalachia","2025",2.21027473175681,0.00184465039455906
"535","ExecRollback","electricity","Billions 1975$","Appalachia","2030",2.49992557327289,0.0173391153166473
"536","ExecRollback","electricity","Billions 1975$","Appalachia","2035",2.77414584036518,-0.0298620677849422
"537","ExecRollback","electricity","Billions 1975$","GulfCoast","2020",1.17728409115862,2.4682273713772e-07
"538","ExecRollback","electricity","Billions 1975$","GulfCoast","2025",1.23575464217465,-0.00100165747570513
"539","ExecRollback","electricity","Billions 1975$","GulfCoast","2030",1.33388948292762,0.0134024396880639
"540","ExecRollback","electricity","Billions 1975$","GulfCoast","2035",1.4598248540492,-0.0277254347026521
"541","ExecRollback","electricity","Billions 1975$","MidA","2020",1.79149190365114,-3.84998332503272e-06
"542","ExecRollback","electricity","Billions 1975$","MidA","2025",1.9176184714985,0.00252892320837628
"543","ExecRollback","electricity","Billions 1975$","MidA","2030",2.08570885266826,0.0151708770891463
"544","ExecRollback","electricity","Billions 1975$","MidA","2035",2.3180838975791,-0.0176923827530548
"545","ExecRollback","electricity","Billions 1975$","Midcontinent","2020",1.04231253756373,4.88680170995792e-07
"546","ExecRollback","electricity","Billions 1975$","Midcontinent","2025",1.14693779053511,-8.12209012968079e-06
"547","ExecRollback","electricity","Billions 1975$","Midcontinent","2030",1.2521730493729,0.0109517901968654
"548","ExecRollback","electricity","Billions 1975$","Midcontinent","2035",1.36809014830588,-0.0373383471417137
"549","ExecRollback","electricity","Billions 1975$","Midwest","2020",1.39693726302825,9.58579894350109e-07
"550","ExecRollback","electricity","Billions 1975$","Midwest","2025",1.75671552517752,0.000626131348399062
"551","ExecRollback","electricity","Billions 1975$","Midwest","2030",2.10461486539637,0.0142866637973134
"552","ExecRollback","electricity","Billions 1975$","Midwest","2035",2.35266201641409,-0.0392022743268128
"553","ExecRollback","electricity","Billions 1975$","NewEngland","2020",0.73414446876963,3.95779519335449e-06
"554","ExecRollback","electricity","Billions 1975$","NewEngland","2025",1.01891494272622,0.00142899384372042
"555","ExecRollback","electricity","Billions 1975$","NewEngland","2030",1.2875156230533,0.0112251374341334
"556","ExecRollback","electricity","Billions 1975$","NewEngland","2035",1.52706039947378,-0.0204266353692172
"557","ExecRollback","electricity","Billions 1975$","PacificNorthwest","2020",0.76007504536023,1.18654721736888e-06
"558","ExecRollback","electricity","Billions 1975$","PacificNorthwest","2025",0.7674582833056,-0.000139653140101892
"559","ExecRollback","electricity","Billions 1975$","PacificNorthwest","2030",0.80947101967657,0.0116576581542978
"560","ExecRollback","electricity","Billions 1975$","PacificNorthwest","2035",0.9062326051035,-0.011685662949221
"561","ExecRollback","electricity","Billions 1975$","RockiesCentral","2020",0.36541678210335,2.76843327817744e-07
"562","ExecRollback","electricity","Billions 1975$","RockiesCentral","2025",0.43447640042998,-0.000124645724388417
"563","ExecRollback","electricity","Billions 1975$","RockiesCentral","2030",0.51713726469922,0.0120653966858491
"564","ExecRollback","electricity","Billions 1975$","RockiesCentral","2035",0.596279356576515,-0.0158198423087587
"565","ExecRollback","electricity","Billions 1975$","SouthAtlantic","2020",2.0757489856814,2.00942478589816e-06
"566","ExecRollback","electricity","Billions 1975$","SouthAtlantic","2025",2.16983368224206,0.00217775961878086
"567","ExecRollback","electricity","Billions 1975$","SouthAtlantic","2030",2.24066170006597,0.0138032819307188
"568","ExecRollback","electricity","Billions 1975$","SouthAtlantic","2035",2.41297352567869,-0.0257085534593487
"569","ExecRollback","electricity","Billions 1975$","West","2020",0.67425074817008,8.60948469627587e-07
"570","ExecRollback","electricity","Billions 1975$","West","2025",0.7942319106428,0.000176309695967714
"571","ExecRollback","electricity","Billions 1975$","West","2030",0.92677394835357,0.0116602125948619
"572","ExecRollback","electricity","Billions 1975$","West","2035",1.0575894427861,-0.017511786024526
"573","ExecRollback","gas","Billions 1975$","AK-HI","2020",NA,NA
"574","ExecRollback","gas","Billions 1975$","AK-HI","2025",NA,NA
