"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"575","ExecRollback","gas","Billions 1975$","AK-HI","2030",NA,NA
"576","ExecRollback","gas","Billions 1975$","AK-HI","2035",NA,NA
"577","ExecRollback","gas","Billions 1975$","Appalachia","2020",NA,NA
"578","ExecRollback","gas","Billions 1975$","Appalachia","2025",NA,NA
"579","ExecRollback","gas","Billions 1975$","Appalachia","2030",NA,NA
"580","ExecRollback","gas","Billions 1975$","Appalachia","2035",NA,NA
"581","ExecRollback","gas","Billions 1975$","GulfCoast","2020",NA,NA
"582","ExecRollback","gas","Billions 1975$","GulfCoast","2025",NA,NA
"583","ExecRollback","gas","Billions 1975$","GulfCoast","2030",NA,NA
"584","ExecRollback","gas","Billions 1975$","GulfCoast","2035",NA,NA
"585","ExecRollback","gas","Billions 1975$","MidA","2020",NA,NA
"586","ExecRollback","gas","Billions 1975$","MidA","2025",NA,NA
"587","ExecRollback","gas","Billions 1975$","MidA","2030",NA,NA
"588","ExecRollback","gas","Billions 1975$","MidA","2035",NA,NA
"589","ExecRollback","gas","Billions 1975$","Midcontinent","2020",NA,NA
"590","ExecRollback","gas","Billions 1975$","Midcontinent","2025",NA,NA
"591","ExecRollback","gas","Billions 1975$","Midcontinent","2030",NA,NA
"592","ExecRollback","gas","Billions 1975$","Midcontinent","2035",NA,NA
"593","ExecRollback","gas","Billions 1975$","Midwest","2020",NA,NA
"594","ExecRollback","gas","Billions 1975$","Midwest","2025",NA,NA
"595","ExecRollback","gas","Billions 1975$","Midwest","2030",NA,NA
"596","ExecRollback","gas","Billions 1975$","Midwest","2035",NA,NA
"597","ExecRollback","gas","Billions 1975$","NewEngland","2020",NA,NA
"598","ExecRollback","gas","Billions 1975$","NewEngland","2025",NA,NA
"599","ExecRollback","gas","Billions 1975$","NewEngland","2030",NA,NA
"600","ExecRollback","gas","Billions 1975$","NewEngland","2035",NA,NA
"601","ExecRollback","gas","Billions 1975$","PacificNorthwest","2020",NA,NA
"602","ExecRollback","gas","Billions 1975$","PacificNorthwest","2025",NA,NA
"603","ExecRollback","gas","Billions 1975$","PacificNorthwest","2030",NA,NA
"604","ExecRollback","gas","Billions 1975$","PacificNorthwest","2035",NA,NA
"605","ExecRollback","gas","Billions 1975$","RockiesCentral","2020",NA,NA
"606","ExecRollback","gas","Billions 1975$","RockiesCentral","2025",NA,NA
"607","ExecRollback","gas","Billions 1975$","RockiesCentral","2030",NA,NA
"608","ExecRollback","gas","Billions 1975$","RockiesCentral","2035",NA,NA
"609","ExecRollback","gas","Billions 1975$","SouthAtlantic","2020",NA,NA
"610","ExecRollback","gas","Billions 1975$","SouthAtlantic","2025",NA,NA
"611","ExecRollback","gas","Billions 1975$","SouthAtlantic","2030",NA,NA
"612","ExecRollback","gas","Billions 1975$","SouthAtlantic","2035",NA,NA
"613","ExecRollback","gas","Billions 1975$","West","2020",NA,NA
"614","ExecRollback","gas","Billions 1975$","West","2025",NA,NA
"615","ExecRollback","gas","Billions 1975$","West","2030",NA,NA
"616","ExecRollback","gas","Billions 1975$","West","2035",NA,NA
"617","ExecRollback","refined liquids","Billions 1975$","AK-HI","2020",NA,NA
"618","ExecRollback","refined liquids","Billions 1975$","AK-HI","2025",NA,NA
"619","ExecRollback","refined liquids","Billions 1975$","AK-HI","2030",NA,NA
"620","ExecRollback","refined liquids","Billions 1975$","AK-HI","2035",NA,NA
"621","ExecRollback","refined liquids","Billions 1975$","Appalachia","2020",NA,NA
"622","ExecRollback","refined liquids","Billions 1975$","Appalachia","2025",NA,NA
"623","ExecRollback","refined liquids","Billions 1975$","Appalachia","2030",NA,NA
"624","ExecRollback","refined liquids","Billions 1975$","Appalachia","2035",NA,NA
"625","ExecRollback","refined liquids","Billions 1975$","GulfCoast","2020",NA,NA
"626","ExecRollback","refined liquids","Billions 1975$","GulfCoast","2025",NA,NA
"627","ExecRollback","refined liquids","Billions 1975$","GulfCoast","2030",NA,NA
"628","ExecRollback","refined liquids","Billions 1975$","GulfCoast","2035",NA,NA
"629","ExecRollback","refined liquids","Billions 1975$","MidA","2020",NA,NA
"630","ExecRollback","refined liquids","Billions 1975$","MidA","2025",NA,NA
"631","ExecRollback","refined liquids","Billions 1975$","MidA","2030",NA,NA
"632","ExecRollback","refined liquids","Billions 1975$","MidA","2035",NA,NA
"633","ExecRollback","refined liquids","Billions 1975$","Midcontinent","2020",NA,NA
"634","ExecRollback","refined liquids","Billions 1975$","Midcontinent","2025",NA,NA
"635","ExecRollback","refined liquids","Billions 1975$","Midcontinent","2030",NA,NA
"636","ExecRollback","refined liquids","Billions 1975$","Midcontinent","2035",NA,NA
"637","ExecRollback","refined liquids","Billions 1975$","Midwest","2020",NA,NA
"638","ExecRollback","refined liquids","Billions 1975$","Midwest","2025",NA,NA
"639","ExecRollback","refined liquids","Billions 1975$","Midwest","2030",NA,NA
"640","ExecRollback","refined liquids","Billions 1975$","Midwest","2035",NA,NA
"641","ExecRollback","refined liquids","Billions 1975$","NewEngland","2020",NA,NA
"642","ExecRollback","refined liquids","Billions 1975$","NewEngland","2025",NA,NA
"643","ExecRollback","refined liquids","Billions 1975$","NewEngland","2030",NA,NA
"644","ExecRollback","refined liquids","Billions 1975$","NewEngland","2035",NA,NA
"645","ExecRollback","refined liquids","Billions 1975$","PacificNorthwest","2020",NA,NA
"646","ExecRollback","refined liquids","Billions 1975$","PacificNorthwest","2025",NA,NA
"647","ExecRollback","refined liquids","Billions 1975$","PacificNorthwest","2030",NA,NA
"648","ExecRollback","refined liquids","Billions 1975$","PacificNorthwest","2035",NA,NA
"649","ExecRollback","refined liquids","Billions 1975$","RockiesCentral","2020",NA,NA
"650","ExecRollback","refined liquids","Billions 1975$","RockiesCentral","2025",NA,NA
"651","ExecRollback","refined liquids","Billions 1975$","RockiesCentral","2030",NA,NA
"652","ExecRollback","refined liquids","Billions 1975$","RockiesCentral","2035",NA,NA
"653","ExecRollback","refined liquids","Billions 1975$","SouthAtlantic","2020",NA,NA
"654","ExecRollback","refined liquids","Billions 1975$","SouthAtlantic","2025",NA,NA
"655","ExecRollback","refined liquids","Billions 1975$","SouthAtlantic","2030",NA,NA
"656","ExecRollback","refined liquids","Billions 1975$","SouthAtlantic","2035",NA,NA
"657","ExecRollback","refined liquids","Billions 1975$","West","2020",NA,NA
"658","ExecRollback","refined liquids","Billions 1975$","West","2025",NA,NA
"659","ExecRollback","refined liquids","Billions 1975$","West","2030",NA,NA
"660","ExecRollback","refined liquids","Billions 1975$","West","2035",NA,NA
"661","FedRollback","biomass","Billions 1975$","AK-HI","2020",NA,NA
"662","FedRollback","biomass","Billions 1975$","AK-HI","2025",NA,NA
"663","FedRollback","biomass","Billions 1975$","AK-HI","2030",NA,NA
"664","FedRollback","biomass","Billions 1975$","AK-HI","2035",NA,NA
"665","FedRollback","biomass","Billions 1975$","Appalachia","2020",NA,NA
"666","FedRollback","biomass","Billions 1975$","Appalachia","2025",NA,NA
"667","FedRollback","biomass","Billions 1975$","Appalachia","2030",NA,NA
"668","FedRollback","biomass","Billions 1975$","Appalachia","2035",NA,NA
"669","FedRollback","biomass","Billions 1975$","GulfCoast","2020",NA,NA
"670","FedRollback","biomass","Billions 1975$","GulfCoast","2025",NA,NA
"671","FedRollback","biomass","Billions 1975$","GulfCoast","2030",NA,NA
"672","FedRollback","biomass","Billions 1975$","GulfCoast","2035",NA,NA
"673","FedRollback","biomass","Billions 1975$","MidA","2020",NA,NA
"674","FedRollback","biomass","Billions 1975$","MidA","2025",NA,NA
"675","FedRollback","biomass","Billions 1975$","MidA","2030",NA,NA
"676","FedRollback","biomass","Billions 1975$","MidA","2035",NA,NA
"677","FedRollback","biomass","Billions 1975$","Midcontinent","2020",NA,NA
"678","FedRollback","biomass","Billions 1975$","Midcontinent","2025",NA,NA
"679","FedRollback","biomass","Billions 1975$","Midcontinent","2030",NA,NA
"680","FedRollback","biomass","Billions 1975$","Midcontinent","2035",NA,NA
"681","FedRollback","biomass","Billions 1975$","Midwest","2020",NA,NA
"682","FedRollback","biomass","Billions 1975$","Midwest","2025",NA,NA
"683","FedRollback","biomass","Billions 1975$","Midwest","2030",NA,NA
"684","FedRollback","biomass","Billions 1975$","Midwest","2035",NA,NA
"685","FedRollback","biomass","Billions 1975$","NewEngland","2020",NA,NA
"686","FedRollback","biomass","Billions 1975$","NewEngland","2025",NA,NA
"687","FedRollback","biomass","Billions 1975$","NewEngland","2030",NA,NA
"688","FedRollback","biomass","Billions 1975$","NewEngland","2035",NA,NA
"689","FedRollback","biomass","Billions 1975$","PacificNorthwest","2020",NA,NA
"690","FedRollback","biomass","Billions 1975$","PacificNorthwest","2025",NA,NA
"691","FedRollback","biomass","Billions 1975$","PacificNorthwest","2030",NA,NA
"692","FedRollback","biomass","Billions 1975$","PacificNorthwest","2035",NA,NA
"693","FedRollback","biomass","Billions 1975$","RockiesCentral","2020",NA,NA
"694","FedRollback","biomass","Billions 1975$","RockiesCentral","2025",NA,NA
"695","FedRollback","biomass","Billions 1975$","RockiesCentral","2030",NA,NA
"696","FedRollback","biomass","Billions 1975$","RockiesCentral","2035",NA,NA
"697","FedRollback","biomass","Billions 1975$","SouthAtlantic","2020",NA,NA
"698","FedRollback","biomass","Billions 1975$","SouthAtlantic","2025",NA,NA
"699","FedRollback","biomass","Billions 1975$","SouthAtlantic","2030",NA,NA
"700","FedRollback","biomass","Billions 1975$","SouthAtlantic","2035",NA,NA
"701","FedRollback","biomass","Billions 1975$","West","2020",NA,NA
"702","FedRollback","biomass","Billions 1975$","West","2025",NA,NA
"703","FedRollback","biomass","Billions 1975$","West","2030",NA,NA
"704","FedRollback","biomass","Billions 1975$","West","2035",NA,NA
"705","FedRollback","coal","Billions 1975$","AK-HI","2020",NA,NA
"706","FedRollback","coal","Billions 1975$","AK-HI","2025",NA,NA
"707","FedRollback","coal","Billions 1975$","AK-HI","2030",NA,NA
"708","FedRollback","coal","Billions 1975$","AK-HI","2035",NA,NA
"709","FedRollback","coal","Billions 1975$","Appalachia","2020",NA,NA
"710","FedRollback","coal","Billions 1975$","Appalachia","2025",NA,NA
"711","FedRollback","coal","Billions 1975$","Appalachia","2030",NA,NA
"712","FedRollback","coal","Billions 1975$","Appalachia","2035",NA,NA
"713","FedRollback","coal","Billions 1975$","GulfCoast","2020",NA,NA
"714","FedRollback","coal","Billions 1975$","GulfCoast","2025",NA,NA
"715","FedRollback","coal","Billions 1975$","GulfCoast","2030",NA,NA
"716","FedRollback","coal","Billions 1975$","GulfCoast","2035",NA,NA
"717","FedRollback","coal","Billions 1975$","MidA","2020",NA,NA
"718","FedRollback","coal","Billions 1975$","MidA","2025",NA,NA
"719","FedRollback","coal","Billions 1975$","MidA","2030",NA,NA
"720","FedRollback","coal","Billions 1975$","MidA","2035",NA,NA
"721","FedRollback","coal","Billions 1975$","Midcontinent","2020",NA,NA
"722","FedRollback","coal","Billions 1975$","Midcontinent","2025",NA,NA
"723","FedRollback","coal","Billions 1975$","Midcontinent","2030",NA,NA
"724","FedRollback","coal","Billions 1975$","Midcontinent","2035",NA,NA
"725","FedRollback","coal","Billions 1975$","Midwest","2020",NA,NA
"726","FedRollback","coal","Billions 1975$","Midwest","2025",NA,NA
"727","FedRollback","coal","Billions 1975$","Midwest","2030",NA,NA
"728","FedRollback","coal","Billions 1975$","Midwest","2035",NA,NA
"729","FedRollback","coal","Billions 1975$","NewEngland","2020",NA,NA
"730","FedRollback","coal","Billions 1975$","NewEngland","2025",NA,NA
"731","FedRollback","coal","Billions 1975$","NewEngland","2030",NA,NA
"732","FedRollback","coal","Billions 1975$","NewEngland","2035",NA,NA
"733","FedRollback","coal","Billions 1975$","PacificNorthwest","2020",NA,NA
"734","FedRollback","coal","Billions 1975$","PacificNorthwest","2025",NA,NA
"735","FedRollback","coal","Billions 1975$","PacificNorthwest","2030",NA,NA
"736","FedRollback","coal","Billions 1975$","PacificNorthwest","2035",NA,NA
"737","FedRollback","coal","Billions 1975$","RockiesCentral","2020",NA,NA
"738","FedRollback","coal","Billions 1975$","RockiesCentral","2025",NA,NA
"739","FedRollback","coal","Billions 1975$","RockiesCentral","2030",NA,NA
"740","FedRollback","coal","Billions 1975$","RockiesCentral","2035",NA,NA
"741","FedRollback","coal","Billions 1975$","SouthAtlantic","2020",NA,NA
"742","FedRollback","coal","Billions 1975$","SouthAtlantic","2025",NA,NA
"743","FedRollback","coal","Billions 1975$","SouthAtlantic","2030",NA,NA
"744","FedRollback","coal","Billions 1975$","SouthAtlantic","2035",NA,NA
"745","FedRollback","coal","Billions 1975$","West","2020",NA,NA
"746","FedRollback","coal","Billions 1975$","West","2025",NA,NA
"747","FedRollback","coal","Billions 1975$","West","2030",NA,NA
"748","FedRollback","coal","Billions 1975$","West","2035",NA,NA
"749","FedRollback","electricity","Billions 1975$","AK-HI","2020",0.08105311803536,-7.61684918838545e-05
"750","FedRollback","electricity","Billions 1975$","AK-HI","2025",0.098892270845693,-0.00171228837292403
"751","FedRollback","electricity","Billions 1975$","AK-HI","2030",0.119706459369576,0.110494302301281
"752","FedRollback","electricity","Billions 1975$","AK-HI","2035",0.13503251364746,0.0528139049917702
"753","FedRollback","electricity","Billions 1975$","Appalachia","2020",1.98179975192758,-6.79294593858293e-05
"754","FedRollback","electricity","Billions 1975$","Appalachia","2025",2.20518048605497,-0.000464403195411189
"755","FedRollback","electricity","Billions 1975$","Appalachia","2030",2.70565114453578,0.101058675972445
"756","FedRollback","electricity","Billions 1975$","Appalachia","2035",3.01492819325756,0.0543411815720349
"757","FedRollback","electricity","Billions 1975$","GulfCoast","2020",1.1772048541946,-6.70580734835058e-05
"758","FedRollback","electricity","Billions 1975$","GulfCoast","2025",1.23391445838107,-0.00248928333361109
"759","FedRollback","electricity","Billions 1975$","GulfCoast","2030",1.5678454003119,0.191146923388708
"760","FedRollback","electricity","Billions 1975$","GulfCoast","2035",1.63706146159298,0.0903179354156356
"761","FedRollback","electricity","Billions 1975$","MidA","2020",1.79138305495891,-6.46084343915998e-05
"762","FedRollback","electricity","Billions 1975$","MidA","2025",1.91232978760059,-0.000235995179804438
"763","FedRollback","electricity","Billions 1975$","MidA","2030",2.29494036647463,0.117009510565612
"764","FedRollback","electricity","Billions 1975$","MidA","2035",2.56897057147414,0.0886229629038588
"765","FedRollback","electricity","Billions 1975$","Midcontinent","2020",1.04225491181926,-5.47977819542744e-05
"766","FedRollback","electricity","Billions 1975$","Midcontinent","2025",1.14512717144061,-0.00158676428278404
"767","FedRollback","electricity","Billions 1975$","Midcontinent","2030",1.41209664086595,0.140067363476118
"768","FedRollback","electricity","Billions 1975$","Midcontinent","2035",1.48920041211369,0.0478813343827105
"769","FedRollback","electricity","Billions 1975$","Midwest","2020",1.39684776591081,-6.31081506590192e-05
"770","FedRollback","electricity","Billions 1975$","Midwest","2025",1.75387035195521,-0.000994480887135274
"771","FedRollback","electricity","Billions 1975$","Midwest","2030",2.20757524336829,0.0639068294596807
"772","FedRollback","electricity","Billions 1975$","Midwest","2035",2.4310509585127,-0.00718921135354844
"773","FedRollback","electricity","Billions 1975$","NewEngland","2020",0.73406880059058,-9.91124883110706e-05
"774","FedRollback","electricity","Billions 1975$","NewEngland","2025",1.01734620989965,-0.000112817420641287
"775","FedRollback","electricity","Billions 1975$","NewEngland","2030",1.30386888104329,0.0240691179360608
"776","FedRollback","electricity","Billions 1975$","NewEngland","2035",1.51796077674705,-0.0262638295328288
"777","FedRollback","electricity","Billions 1975$","PacificNorthwest","2020",0.7600221152417,-6.84515518849516e-05
"778","FedRollback","electricity","Billions 1975$","PacificNorthwest","2025",0.76644147541709,-0.00146437125209686
"779","FedRollback","electricity","Billions 1975$","PacificNorthwest","2030",0.99097496613554,0.238496980325228
"780","FedRollback","electricity","Billions 1975$","PacificNorthwest","2035",1.06268346442622,0.158935683537092
"781","FedRollback","electricity","Billions 1975$","RockiesCentral","2020",0.36539439938457,-6.09757484322238e-05
"782","FedRollback","electricity","Billions 1975$","RockiesCentral","2025",0.43392927722312,-0.00138375901512233
"783","FedRollback","electricity","Billions 1975$","RockiesCentral","2030",0.56859934447904,0.11277945026877
"784","FedRollback","electricity","Billions 1975$","RockiesCentral","2035",0.637983288201875,0.0530139711558615
"785","FedRollback","electricity","Billions 1975$","SouthAtlantic","2020",2.07560887853052,-6.54878657733171e-05
"786","FedRollback","electricity","Billions 1975$","SouthAtlantic","2025",2.16458906706802,-0.000244562759287636
"787","FedRollback","electricity","Billions 1975$","SouthAtlantic","2030",2.6423692965322,0.195558733751926
"788","FedRollback","electricity","Billions 1975$","SouthAtlantic","2035",2.75491036469046,0.112356010432877
"789","FedRollback","electricity","Billions 1975$","West","2020",0.67421225161176,-5.6234414891887e-05
"790","FedRollback","electricity","Billions 1975$","West","2025",0.79317106855126,-0.00115960883622512
"791","FedRollback","electricity","Billions 1975$","West","2030",1.02636793086264,0.120376334468257
"792","FedRollback","electricity","Billions 1975$","West","2035",1.12416386001534,0.04433506837268
"793","FedRollback","gas","Billions 1975$","AK-HI","2020",NA,NA
"794","FedRollback","gas","Billions 1975$","AK-HI","2025",NA,NA
"795","FedRollback","gas","Billions 1975$","AK-HI","2030",NA,NA
"796","FedRollback","gas","Billions 1975$","AK-HI","2035",NA,NA
"797","FedRollback","gas","Billions 1975$","Appalachia","2020",NA,NA
"798","FedRollback","gas","Billions 1975$","Appalachia","2025",NA,NA
"799","FedRollback","gas","Billions 1975$","Appalachia","2030",NA,NA
"800","FedRollback","gas","Billions 1975$","Appalachia","2035",NA,NA
"801","FedRollback","gas","Billions 1975$","GulfCoast","2020",NA,NA
"802","FedRollback","gas","Billions 1975$","GulfCoast","2025",NA,NA
"803","FedRollback","gas","Billions 1975$","GulfCoast","2030",NA,NA
"804","FedRollback","gas","Billions 1975$","GulfCoast","2035",NA,NA
"805","FedRollback","gas","Billions 1975$","MidA","2020",NA,NA
"806","FedRollback","gas","Billions 1975$","MidA","2025",NA,NA
"807","FedRollback","gas","Billions 1975$","MidA","2030",NA,NA
"808","FedRollback","gas","Billions 1975$","MidA","2035",NA,NA
"809","FedRollback","gas","Billions 1975$","Midcontinent","2020",NA,NA
"810","FedRollback","gas","Billions 1975$","Midcontinent","2025",NA,NA
"811","FedRollback","gas","Billions 1975$","Midcontinent","2030",NA,NA
"812","FedRollback","gas","Billions 1975$","Midcontinent","2035",NA,NA
"813","FedRollback","gas","Billions 1975$","Midwest","2020",NA,NA
"814","FedRollback","gas","Billions 1975$","Midwest","2025",NA,NA
"815","FedRollback","gas","Billions 1975$","Midwest","2030",NA,NA
"816","FedRollback","gas","Billions 1975$","Midwest","2035",NA,NA
"817","FedRollback","gas","Billions 1975$","NewEngland","2020",NA,NA
"818","FedRollback","gas","Billions 1975$","NewEngland","2025",NA,NA
"819","FedRollback","gas","Billions 1975$","NewEngland","2030",NA,NA
"820","FedRollback","gas","Billions 1975$","NewEngland","2035",NA,NA
"821","FedRollback","gas","Billions 1975$","PacificNorthwest","2020",NA,NA
"822","FedRollback","gas","Billions 1975$","PacificNorthwest","2025",NA,NA
"823","FedRollback","gas","Billions 1975$","PacificNorthwest","2030",NA,NA
"824","FedRollback","gas","Billions 1975$","PacificNorthwest","2035",NA,NA
"825","FedRollback","gas","Billions 1975$","RockiesCentral","2020",NA,NA
"826","FedRollback","gas","Billions 1975$","RockiesCentral","2025",NA,NA
"827","FedRollback","gas","Billions 1975$","RockiesCentral","2030",NA,NA
"828","FedRollback","gas","Billions 1975$","RockiesCentral","2035",NA,NA
"829","FedRollback","gas","Billions 1975$","SouthAtlantic","2020",NA,NA
"830","FedRollback","gas","Billions 1975$","SouthAtlantic","2025",NA,NA
"831","FedRollback","gas","Billions 1975$","SouthAtlantic","2030",NA,NA
"832","FedRollback","gas","Billions 1975$","SouthAtlantic","2035",NA,NA
"833","FedRollback","gas","Billions 1975$","West","2020",NA,NA
"834","FedRollback","gas","Billions 1975$","West","2025",NA,NA
"835","FedRollback","gas","Billions 1975$","West","2030",NA,NA
"836","FedRollback","gas","Billions 1975$","West","2035",NA,NA
"837","FedRollback","refined liquids","Billions 1975$","AK-HI","2020",NA,NA
"838","FedRollback","refined liquids","Billions 1975$","AK-HI","2025",NA,NA
"839","FedRollback","refined liquids","Billions 1975$","AK-HI","2030",NA,NA
"840","FedRollback","refined liquids","Billions 1975$","AK-HI","2035",NA,NA
"841","FedRollback","refined liquids","Billions 1975$","Appalachia","2020",NA,NA
"842","FedRollback","refined liquids","Billions 1975$","Appalachia","2025",NA,NA
"843","FedRollback","refined liquids","Billions 1975$","Appalachia","2030",NA,NA
"844","FedRollback","refined liquids","Billions 1975$","Appalachia","2035",NA,NA
"845","FedRollback","refined liquids","Billions 1975$","GulfCoast","2020",NA,NA
"846","FedRollback","refined liquids","Billions 1975$","GulfCoast","2025",NA,NA
"847","FedRollback","refined liquids","Billions 1975$","GulfCoast","2030",NA,NA
"848","FedRollback","refined liquids","Billions 1975$","GulfCoast","2035",NA,NA
"849","FedRollback","refined liquids","Billions 1975$","MidA","2020",NA,NA
"850","FedRollback","refined liquids","Billions 1975$","MidA","2025",NA,NA
"851","FedRollback","refined liquids","Billions 1975$","MidA","2030",NA,NA
"852","FedRollback","refined liquids","Billions 1975$","MidA","2035",NA,NA
"853","FedRollback","refined liquids","Billions 1975$","Midcontinent","2020",NA,NA
"854","FedRollback","refined liquids","Billions 1975$","Midcontinent","2025",NA,NA
"855","FedRollback","refined liquids","Billions 1975$","Midcontinent","2030",NA,NA
"856","FedRollback","refined liquids","Billions 1975$","Midcontinent","2035",NA,NA
"857","FedRollback","refined liquids","Billions 1975$","Midwest","2020",NA,NA
"858","FedRollback","refined liquids","Billions 1975$","Midwest","2025",NA,NA
"859","FedRollback","refined liquids","Billions 1975$","Midwest","2030",NA,NA
"860","FedRollback","refined liquids","Billions 1975$","Midwest","2035",NA,NA
"861","FedRollback","refined liquids","Billions 1975$","NewEngland","2020",NA,NA
"862","FedRollback","refined liquids","Billions 1975$","NewEngland","2025",NA,NA
"863","FedRollback","refined liquids","Billions 1975$","NewEngland","2030",NA,NA
"864","FedRollback","refined liquids","Billions 1975$","NewEngland","2035",NA,NA
"865","FedRollback","refined liquids","Billions 1975$","PacificNorthwest","2020",NA,NA
"866","FedRollback","refined liquids","Billions 1975$","PacificNorthwest","2025",NA,NA
"867","FedRollback","refined liquids","Billions 1975$","PacificNorthwest","2030",NA,NA
"868","FedRollback","refined liquids","Billions 1975$","PacificNorthwest","2035",NA,NA
"869","FedRollback","refined liquids","Billions 1975$","RockiesCentral","2020",NA,NA
"870","FedRollback","refined liquids","Billions 1975$","RockiesCentral","2025",NA,NA
"871","FedRollback","refined liquids","Billions 1975$","RockiesCentral","2030",NA,NA
"872","FedRollback","refined liquids","Billions 1975$","RockiesCentral","2035",NA,NA
"873","FedRollback","refined liquids","Billions 1975$","SouthAtlantic","2020",NA,NA
"874","FedRollback","refined liquids","Billions 1975$","SouthAtlantic","2025",NA,NA
"875","FedRollback","refined liquids","Billions 1975$","SouthAtlantic","2030",NA,NA
"876","FedRollback","refined liquids","Billions 1975$","SouthAtlantic","2035",NA,NA
"877","FedRollback","refined liquids","Billions 1975$","West","2020",NA,NA
"878","FedRollback","refined liquids","Billions 1975$","West","2025",NA,NA
"879","FedRollback","refined liquids","Billions 1975$","West","2030",NA,NA
"880","FedRollback","refined liquids","Billions 1975$","West","2035",NA,NA
