scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Enhanced Ambition,VT,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.0276,8.16748,8.61257,8.56609
Enhanced Ambition,WA,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.6715,6.85685,7.20038,7.35916
Enhanced Ambition,WI,elect_td_bld,1975$/GJ,14.4579,12.8542,12.9613,12.3894,8.16939,7.65595,8.49666,8.49496
Enhanced Ambition,WV,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.10702,8.0201,9.66512,9.89679
Enhanced Ambition,WY,elect_td_bld,1975$/GJ,14.0251,12.1213,12.0376,11.141,7.43047,6.85116,7.53027,7.94432
ExecRollback,AK,elect_td_bld,1975$/GJ,15.166,15.917,16.3325,14.7807,8.51269,9.21994,9.97118,11.9562
ExecRollback,AL,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83139,7.6682,8.00118,8.37094
ExecRollback,Alaska grid,delivered gas,1975$/GJ,3.51323,4.58046,4.5894,3.68638,3.40321,3.71691,3.4789,3.73739
ExecRollback,Alaska grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,AR,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83222,7.66971,8.00394,8.37379
ExecRollback,AZ,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.38423,6.79445,7.23214,7.57057
ExecRollback,CA,elect_td_bld,1975$/GJ,14.6445,14.1577,13.8954,11.9167,8.19077,7.63836,7.98298,8.42794
ExecRollback,California grid,delivered gas,1975$/GJ,2.87453,3.94176,3.9507,3.04768,2.76451,3.07821,2.8402,3.09869
ExecRollback,California grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central East grid,delivered gas,1975$/GJ,2.40803,3.47526,3.4842,2.58118,2.29801,2.61171,2.3737,2.63219
ExecRollback,Central East grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Northeast grid,delivered gas,1975$/GJ,2.70913,3.77636,3.7853,2.88228,2.59911,2.91281,2.6748,2.93329
ExecRollback,Central Northeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Northwest grid,delivered gas,1975$/GJ,2.26243,3.32966,3.3386,2.43558,2.15241,2.46611,2.2281,2.48659
ExecRollback,Central Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Central Southwest grid,delivered gas,1975$/GJ,2.23593,3.30316,3.3121,2.40908,2.12591,2.43961,2.2016,2.46009
ExecRollback,Central Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,CO,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.35434,6.78657,7.21837,7.54633
ExecRollback,CT,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89953,8.23113,8.60958,9.1775
ExecRollback,DC,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48448,7.70159,8.48739,9.62423
ExecRollback,DE,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48366,7.70048,8.48502,9.61974
ExecRollback,FL,elect_td_bld,1975$/GJ,13.7666,12.9199,12.7181,10.7514,7.52505,7.41999,8.03531,8.45626
ExecRollback,Florida grid,delivered gas,1975$/GJ,2.04073,3.10796,3.1169,2.21388,1.93071,2.24441,2.0064,2.26489
ExecRollback,Florida grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,GA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83327,7.67154,8.00716,8.37708
ExecRollback,Hawaii grid,delivered gas,1975$/GJ,7.34183,8.40906,8.418,7.51498,7.23181,7.54551,7.3075,7.56599
ExecRollback,Hawaii grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,HI,elect_td_bld,1975$/GJ,17.8476,16.6486,22.193,21.8854,12.7291,14.1457,14.4328,13.9773
ExecRollback,IA,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67506,7.35304,7.69622,7.86049
ExecRollback,ID,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.60001,6.80701,7.00542,7.40039
ExecRollback,IL,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9614,12.3895,8.04742,7.55634,7.94506,8.24628
ExecRollback,IN,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97677,7.89338,8.69178,9.05351
ExecRollback,KS,elect_td_bld,1975$/GJ,12.558,11.903,11.8298,9.85661,7.42128,6.96982,7.11577,7.26477
ExecRollback,KY,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97609,7.89237,8.68958,9.0509
ExecRollback,LA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.8315,7.66848,8.00186,8.37169
ExecRollback,MA,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.90015,8.23186,8.61096,9.17976
ExecRollback,MD,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48369,7.70052,8.48517,9.6203
ExecRollback,ME,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.90036,8.23211,8.61137,9.18038
ExecRollback,MI,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97484,7.8902,8.68349,9.0428
ExecRollback,Mid-Atlantic grid,delivered gas,1975$/GJ,2.57013,3.63736,3.6463,2.74328,2.46011,2.77381,2.5358,2.79429
ExecRollback,Mid-Atlantic grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,MN,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67365,7.35095,7.69206,7.85598
ExecRollback,MO,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9614,12.3895,8.04789,7.55678,7.94634,8.24826
ExecRollback,MS,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83192,7.66916,8.0029,8.37273
ExecRollback,MT,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.59724,6.80626,7.00378,7.39684
ExecRollback,NC,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83237,7.66988,8.00404,8.3739
ExecRollback,ND,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67417,7.35168,7.69334,7.85722
ExecRollback,NE,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67761,7.35671,7.7033,7.86808
ExecRollback,New England grid,delivered gas,1975$/GJ,2.98703,4.05426,4.0632,3.16018,2.87701,3.19071,2.9527,3.21119
ExecRollback,New England grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,New York grid,delivered gas,1975$/GJ,2.90433,3.97156,3.9805,3.07748,2.79431,3.10801,2.87,3.12849
ExecRollback,New York grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,NH,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89949,8.23111,8.60967,9.17781
ExecRollback,NJ,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48378,7.70062,8.48521,9.6198
ExecRollback,NM,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.37796,6.79315,7.22979,7.56633
ExecRollback,Northwest grid,delivered gas,1975$/GJ,2.40303,3.47026,3.4792,2.57618,2.29301,2.60671,2.3687,2.62719
ExecRollback,Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,NV,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.64423,6.81384,7.01933,7.42946
ExecRollback,NY,elect_td_bld,1975$/GJ,14.0414,13.8203,13.8623,12.1746,8.12118,7.26508,7.4011,7.82707
ExecRollback,OH,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.9755,7.8913,8.68634,9.04644
ExecRollback,OK,elect_td_bld,1975$/GJ,12.558,11.903,11.8298,9.85661,7.41792,6.96596,7.11058,7.26042
ExecRollback,OR,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.59675,6.80614,7.00349,7.39612
ExecRollback,PA,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2164,8.48441,7.70138,8.48655,9.6218
ExecRollback,RI,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89987,8.23155,8.61049,9.17919
ExecRollback,SC,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83227,7.66982,8.00418,8.37408
ExecRollback,SD,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67679,7.35552,7.70093,7.86558
ExecRollback,Southeast grid,delivered gas,1975$/GJ,2.20613,3.27336,3.2823,2.37928,2.09611,2.40981,2.1718,2.43029
ExecRollback,Southeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Southwest grid,delivered gas,1975$/GJ,2.22933,3.29656,3.3055,2.40248,2.11931,2.43301,2.195,2.45349
ExecRollback,Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,Texas grid,delivered gas,1975$/GJ,1.73633,2.80356,2.8125,1.90948,1.62631,1.94001,1.702,1.96049
ExecRollback,Texas grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
ExecRollback,TN,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83258,7.67009,8.00412,8.37391
ExecRollback,TX,elect_td_bld,1975$/GJ,12.9271,12.4401,12.2595,10.2202,6.92839,6.50753,6.8843,7.13592
ExecRollback,USA,delivered gas,1975$/GJ,2.34183,3.40906,3.418,2.51498,2.23181,2.54551,2.3075,2.56599
ExecRollback,UT,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.60118,6.80723,7.00595,7.40169
ExecRollback,VA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4678,12.0235,7.83083,7.667,7.99849,8.36796
ExecRollback,VT,elect_td_bld,1975$/GJ,15.6231,15.0869,15.04,13.1461,8.89917,8.2307,8.60884,9.17639
ExecRollback,WA,elect_td_bld,1975$/GJ,14.7989,12.8496,12.8226,11.9323,7.59568,6.80575,7.00267,7.39442
ExecRollback,WI,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9614,12.3895,8.04553,7.55455,7.94146,8.24111
ExecRollback,WV,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2296,12.5699,7.97512,7.89069,8.68476,9.04436
ExecRollback,WY,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.3477,6.78402,7.21341,7.53775
FedRollback,AK,elect_td_bld,1975$/GJ,15.166,15.917,16.3325,14.7807,8.51212,9.21742,10.2378,11.8281
FedRollback,AL,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83086,7.64551,9.06285,9.29369
FedRollback,Alaska grid,delivered gas,1975$/GJ,3.51323,4.58046,4.5894,3.68638,3.40298,3.71654,3.48569,3.75346
FedRollback,Alaska grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,AR,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83169,7.64701,9.06715,9.29874
FedRollback,AZ,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.3838,6.78359,8.3498,8.65546
FedRollback,CA,elect_td_bld,1975$/GJ,14.6445,14.156,13.8952,11.9167,8.19028,7.62428,9.21132,9.51006
FedRollback,California grid,delivered gas,1975$/GJ,2.87453,3.94176,3.9507,3.04768,2.76428,3.07784,2.84699,3.11476
FedRollback,California grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Central East grid,delivered gas,1975$/GJ,2.40803,3.47526,3.4842,2.58118,2.29778,2.61134,2.38049,2.64826
FedRollback,Central East grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Central Northeast grid,delivered gas,1975$/GJ,2.70913,3.77636,3.7853,2.88228,2.59888,2.91244,2.68159,2.94936
FedRollback,Central Northeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Central Northwest grid,delivered gas,1975$/GJ,2.26243,3.32966,3.3386,2.43558,2.15218,2.46574,2.23489,2.50266
FedRollback,Central Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Central Southwest grid,delivered gas,1975$/GJ,2.23593,3.30316,3.3121,2.40908,2.12568,2.43924,2.20839,2.47616
FedRollback,Central Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,CO,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.3539,6.77563,8.32261,8.61282
FedRollback,CT,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89831,8.21359,9.65946,10.1495
FedRollback,DC,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2168,8.4839,7.67637,8.67606,10.6124
FedRollback,DE,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2168,8.48308,7.67528,8.67368,10.6057
FedRollback,FL,elect_td_bld,1975$/GJ,13.7666,12.9198,12.718,10.7513,7.5245,7.40437,8.98496,9.44992
FedRollback,Florida grid,delivered gas,1975$/GJ,2.04073,3.10796,3.1169,2.21388,1.93048,2.24404,2.01319,2.28096
FedRollback,Florida grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,GA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83274,7.64883,9.07198,9.30435
FedRollback,Hawaii grid,delivered gas,1975$/GJ,7.34183,8.40906,8.418,7.51498,7.23158,7.54514,7.31429,7.58206
FedRollback,Hawaii grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,HI,elect_td_bld,1975$/GJ,17.8476,16.6485,22.193,21.8854,12.7279,14.1417,15.7221,15.2044
FedRollback,IA,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67468,7.33964,8.67068,8.29572
FedRollback,ID,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.59945,6.79725,8.35765,8.63681
FedRollback,IL,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9613,12.3895,8.04683,7.54177,8.95239,9.11753
FedRollback,IN,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2295,12.5699,7.97615,7.87714,9.45044,9.72864
FedRollback,KS,elect_td_bld,1975$/GJ,12.558,11.903,11.8297,9.85661,7.42094,6.96355,8.30671,8.27634
FedRollback,KY,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2295,12.5699,7.97547,7.87613,9.4478,9.72513
FedRollback,LA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83097,7.64579,9.0641,9.29534
FedRollback,MA,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89893,8.21432,9.66169,10.1535
FedRollback,MD,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2168,8.4831,7.67532,8.67384,10.6065
FedRollback,ME,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89914,8.21457,9.66233,10.1545
FedRollback,MI,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2295,12.5699,7.97423,7.87396,9.44023,9.71322
FedRollback,Mid-Atlantic grid,delivered gas,1975$/GJ,2.57013,3.63736,3.6463,2.74328,2.45988,2.77344,2.54259,2.81036
FedRollback,Mid-Atlantic grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,MN,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67326,7.33755,8.66364,8.2894
FedRollback,MO,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9613,12.3895,8.0473,7.54222,8.95439,9.12104
FedRollback,MS,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.8314,7.64646,9.06548,9.29677
FedRollback,MT,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.59668,6.7965,8.35399,8.62983
FedRollback,NC,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83185,7.64718,9.06701,9.29844
FedRollback,ND,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67378,7.33828,8.66552,8.29094
FedRollback,NE,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67722,7.34331,8.68253,8.30642
FedRollback,New England grid,delivered gas,1975$/GJ,2.98703,4.05426,4.0632,3.16018,2.87678,3.19034,2.95949,3.22726
FedRollback,New England grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,New York grid,delivered gas,1975$/GJ,2.90433,3.97156,3.9805,3.07748,2.79408,3.10764,2.87679,3.14456
FedRollback,New York grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,NH,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89827,8.21358,9.65971,10.1503
FedRollback,NJ,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2168,8.4832,7.67541,8.6739,10.6056
FedRollback,NM,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.37753,6.78227,8.34495,8.6479
FedRollback,Northwest grid,delivered gas,1975$/GJ,2.40303,3.47026,3.4792,2.57618,2.29278,2.60634,2.37549,2.64326
FedRollback,Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,NV,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.64368,6.80408,8.38862,8.69187
FedRollback,NY,elect_td_bld,1975$/GJ,14.0414,13.8202,13.8622,12.1745,8.12073,7.24905,8.37734,8.66429
FedRollback,OH,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2295,12.5699,7.97489,7.87506,9.44375,9.71839
FedRollback,OK,elect_td_bld,1975$/GJ,12.558,11.903,11.8297,9.85661,7.41758,6.95968,8.29607,8.26659
FedRollback,OR,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.5962,6.79639,8.35321,8.6282
FedRollback,PA,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2168,8.48382,7.67617,8.67524,10.6081
FedRollback,RI,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89865,8.21401,9.66108,10.1528
FedRollback,SC,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83175,7.64712,9.06749,9.29921
FedRollback,SD,elect_td_bld,1975$/GJ,14.328,12.6014,12.4123,11.6872,7.67641,7.34212,8.67837,8.30277
FedRollback,Southeast grid,delivered gas,1975$/GJ,2.20613,3.27336,3.2823,2.37928,2.09588,2.40944,2.17859,2.44636
FedRollback,Southeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Southwest grid,delivered gas,1975$/GJ,2.22933,3.29656,3.3055,2.40248,2.11908,2.43264,2.20179,2.46956
FedRollback,Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,Texas grid,delivered gas,1975$/GJ,1.73633,2.80356,2.8125,1.90948,1.62608,1.93964,1.70879,1.97656
FedRollback,Texas grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
FedRollback,TN,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83205,7.64739,9.06682,9.29795
FedRollback,TX,elect_td_bld,1975$/GJ,12.9271,12.44,12.2595,10.2202,6.9279,6.49892,8.0087,8.03073
FedRollback,USA,delivered gas,1975$/GJ,2.34183,3.40906,3.418,2.51498,2.23158,2.54514,2.31429,2.58206
FedRollback,UT,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.60063,6.79747,8.359,8.63963
FedRollback,VA,elect_td_bld,1975$/GJ,15.1924,13.5531,13.4677,12.0235,7.83031,7.64433,9.05813,9.28754
FedRollback,VT,elect_td_bld,1975$/GJ,15.6231,15.0868,15.04,13.1444,8.89795,8.21317,9.65832,10.1477
FedRollback,WA,elect_td_bld,1975$/GJ,14.7989,12.8469,12.8174,11.9323,7.59513,6.796,8.35145,8.62498
FedRollback,WI,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9613,12.3895,8.04494,7.53999,8.94727,9.10961
FedRollback,WV,elect_td_bld,1975$/GJ,14.5119,13.0471,13.2295,12.5699,7.97451,7.87445,9.44176,9.71535
FedRollback,WY,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.34726,6.77306,8.31332,8.59807
